file_keys,Jungle-1
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.76
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.85
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.75
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.47
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.9
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.87
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.76
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.74
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.72
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.39
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.81
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.66
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.62
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.53
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.82
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.53
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.88
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.72
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.86
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.68
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.78
